course_code	course_name	course_name_cn
BIOL2033	FOOD MICROBIOLOGY	食品微生物学
BIOL2043	PRINCIPLES OF BIOLOGY	生物学原理
BIOL2053	PRINCIPLES OF MICROBIOLOGY	微生物学原理
BIOL2063	BIOCHEMISTRY	生物化学
BIOL2073	PHYSIOLOGY	生理学
BIOL2083	THE ECOLOGY AND BIOCONSERVATION IN CHINA	中国的生态学与生物保护
BIOL2093	MICROBIOLOGY	微生物学
BIOL2103	BIOLOGY AND ECOLOGY LABORATORY	生物学与生态学实验室
BIOL3003	ENVIRONMENTAL HEALTH AND TOXICOLOGY	环境健康与毒理学
BIOL3013	INTRODUCTION TO ENVIRONMENTAL BIOTECHNOLOGY	环境生物技术导论
BIOL3023	BIOLOGY AND CHEMISTRY LABORATORY	生物学与化学实验室
BIOL3033	PRACTICAL BIODIVERSITY CONSERVATION	生物多样性保护实践
BIOL3043	MOLECULAR BIOLOGY	分子生物学
BIOL3053	ENVIRONMENTAL BIOTECHNOLOGY AND LABORATORY	环境生物技术与实验室
BIOL4003	BIODIVERSITY CONSERVATION	生物多样性保护
BIOL4023	BIOCHEMISTRY AND BIOTECHNOLOGY LABORATORY	生物化学与生物技术实验室
BUS1013	"BUSINESS, ENTREPRENEURSHIP AND INNOVATION"	商科、创业与创新
BUS2003	ORGANISATIONAL BEHAVIOUR	组织行为学
BUS2013	PRINCIPLES OF LAW	法律原理
BUS2023	MARKETING STRATEGY AND MANAGEMENT	营销战略与管理
BUS2043	PRINCIPLES OF MANAGEMENT	管理原理
BUS2053	PRINCIPLES OF LAW	法律原理
BUS3003	BUSINESS COMMUNICATIONS	商业沟通
BUS3013	COMPANY LAW	公司法
BUS3023	BUSINESS RESEARCH METHODS	商业研究方法
BUS3043	QUALITATIVE RESEARCH METHODS	定性研究方法
BUS4013	STRATEGIC MANAGEMENT	战略管理
BUS4023	MANAGEMENT INFORMATION SYSTEMS	管理信息系统
BUS4033	BUSINESS INTERNSHIP AND HUMAN RESOURCE MANAGEMENT MENTORING	商业实习与人力资源管理指导
BUS4043	CROSS-CULTURAL AND COMPARATIVE MANAGEMENT	跨文化与比较管理
BUS4053	CORPORATE STRATEGY AND MANAGEMENT	公司战略与管理
BUS4063	INTERNATIONAL BUSINESS	国际商务
BUS4073	BBA PROJECT I	BBA项目一
BUS4083	BBA PROJECT II	BBA项目二
BUS4093	MANAGEMENT INFORMATION SYSTEMS	管理信息系统
BUS4103	FINAL YEAR PROJECT (BUSA)	毕业设计（BUSA）
CCGC1003	CHINAS ROLES IN THE GLOBAL SYSTEMS	中国在全球体系中的角色
CCGC1013	INTRODUCTION TO COMMUNICATION THEORIES	传播理论导论
CCGC1023	CHINA IN ESE IN WESTERN CULTURES	西方文化中的中国形象
CCGC1033	CHINESE PHILOSOPHY IN THE GLOBAL CONTEXT	全球背景下的中国哲学
CCGC1043	SOCIAL DEVELOPMENT IN IMPERIAL CHINA	中国古代社会发展
CCGC2003	TOPICS IN CHINESE INTELLECTUAL HISTORY	中国知识分子史专题
CCGC2023	INTRODUCTION TO CHINESE LITERATURE	中国文学导论
CCGC2033	CHINESE PHILOLOGY	汉语语言学
CCGC2043	COMMUNICATIVE ASPECTS OF CLASSICAL CHINESE POETRY	古典诗歌的传播学视角
CCGC2053	SELECTED READINGS OF CLASSICAL CHINESE PROSE	古典散文选读
CCGC2063	TRADITIONAL CHINESE NOVELS IN COMPARATIVE PERSPECTIVES	比较视角下的中国古代小说
CCGC2073	FOLKLORE AND FOLK CULTURE	民俗与民俗文化
CCGC2083	INTRODUCTION TO COMPARATIVE LITERATURE	比较文学导论
CCGC3003	TRADITIONAL CHINESE CIVILIZATION IN THE GLOBAL CONTEXT	全球背景下的中国传统文明
CCGC3013	LANGUAGE AND CROSS-CULTURAL COMMUNICATION	语言与跨文化传播
CCGC3023	HISTORY OF WESTERN SINOLOGY	西方汉学史
CCGC3033	HISTORY OF SINO-FOREIGN CULTURAL EXCHANGE	中外文化交流史
CCGC3043	POPULAR CULTURE AND MASS MEDIA	流行文化与大众媒体
CCGC3053	EAST ASIAN SINOLOGY	东亚汉学
CCGC3063	CHINESE CLASSICS AND THEIR GLOBAL CIRCULATION	中国经典及其全球传播
CCGC3073	SHAKESPEARE DRAMA IN CHINA	中国莎士比亚戏剧
CCGC3083	CHINESE CLASSICS AND CHINESE CULTURE	中国经典与中国文化
CCGC3093	UNDERSTANDING COMMUNICATION IN CHINESE CULTURE	理解中国文化中的传播
CCGC3103	ZEN AND ASIAN CULTURE	禅宗与亚洲文化
CCGC4003	CHINESE LITERATURE AND SOCIETY	中国文学与社会
CCGC4013	EMINENT SINOLOGISTS AND THEIR WORKS	著名汉学家及其作品
CCGC4023	FINAL YEAR PROJECT (CCGC)	毕业设计（CCGC）
CCGC4033	AESTHETICS OF CHINESE CINEMA	中国电影美学
CCGC4043	STUDIES OF CONTEMPORARY CHINESE LINGUISTICS	现代汉语语言学研究
CCGC4053	CHINESE DIASPORA AND TRANSNATIONAL MIGRATION	华人离散与跨国移民
CCGC4063	LINGNAN CULTURE AND THE WORLD	岭南文化与世界
CCGC4073	CHINESE CULTURAL RESOURCES AND CREATIVE INDUSTRIES	中国文化资源与创意产业
CCM2063	PRINCIPLES OF EXHIBITION DESIGN	展览设计原理
CCM2093	"CULTURE, CREATIVITY AND MANAGEMENT"	文化、创意与管理
CCM2113	EVENT PLANNING AND MANAGEMENT	活动策划与管理
CCM2123	PAST TO PRESENT STATE OF ARTS IN CULTURAL INDUSTRIES	文化产业艺术的过去与现在
CCM3023	"CULTURAL POLICY, ECONOMY AND DEVELOPMENT"	文化政策、经济与发展
CCM3033	INTERNATIONAL CULTURAL TRADE	国际文化贸易
CCM3083	"CULTURE, CREATIVITY AND MANAGEMENT IN CHINESE CITIES"	中国城市文化、创意与管理
CCM3093	BASIC STUDIES OF CULTURAL TOURISM IN CHINA	中国文化旅游概论
CCM3103	FOOD AND BEVERAGE MANAGEMENT	餐饮管理
CCM3113	INTRODUCTION TO HOSPITALITY MANAGEMENT	酒店管理导论
CCM3123	CONCEPTS IN SPATIAL DESIGN	空间设计概念
CCM3133	EXHIBITION DESIGN: CREATIVE INTERPRETATION AND MANAGEMENT	展览设计：创意阐释与管理
CCM3143	PUBLIC ARTS AND MUSEUM DESIGN MANAGEMENT IN THE URBAN  ENVIRONMENT	城市环境中的公共艺术与博物馆设计管理
CCM3153	CONSUMER BEHAVIOUR IN CULTURAL INDUSTRIES	文化产业中的消费者行为
CCM3163	PRINCIPLES OF CREATIVE ARTS MANAGEMENT	创意艺术管理原理
CCM3173	CONCEPTS OF CONTEMPORARY ARTS IN CULTURAL INDUSTRIES	文化产业中的当代艺术概念
CCM4023	MANAGEMENT OF MEDIA PRODUCTION	媒体制作管理
CCM4033	CULTURAL INDUSTRIES INTERNSHIP	文化产业实习
CCM4043	FUNDRAISING FOR ARTS AND CULTURE	艺术与文化筹款
CCM4053	CULTURAL HERITAGE AND TOURISM	文化遗产与旅游
CCM4063	COMMERCIAL SPACE PLANNING AND FACILITIES MANAGEMENT	商业空间规划与设施管理
CCM4073	INDUSTRIAL AND RETAIL DESIGN MANAGEMENT	工业与零售设计管理
CCM4083	CUSTOMER RELATIONSHIP MANAGEMENT IN CULTURAL INDUSTRIES	文化产业中的客户关系管理
CCM4093	FINAL YEAR PROJECT (CCM)	毕业设计（CCM）
CCM4103	APPLIED SEMIOTICS FOR THE CULTURAL ENTREPRENEUR AND MANAGER	文化企业家和管理者的应用符号学
CCM4113	HYPER-REALITY AND APPLICATION OF SIMULATION SKILLS	超现实和模拟技能的应用
CHEM2003	GENERAL CHEMISTRY	普通化学
CHEM2023	PRINCIPLES OF CHEMISTRY	化学原理
CHEM2033	ANALYTICAL CHEMISTRY	分析化学
CHEM2043	PHYSICAL CHEMISTRY	物理化学
CHEM2053	CHEMISTRY LABORATORY	化学实验室
CHEM2063	ORGANIC CHEMISTRY	有机化学
CHEM3003	PRINCIPLES OF BIOCHEMISTRY AND PHYSIOLOGY	生物化学与生理学原理
CHEM3013	CHEMICAL ANALYSIS	化学分析
CHI1053	UNIVERSITY CHINESE (MORALITY AND FOUNDATIONS OF LAW)	大学语文（道德与法治）
CHI1063	CHINESE CULTURE AND MODERN CHINA	中国文化与近代中国
CHI1073	CONTEMPORARY CHINESE SOCIETY AND THOUGHT I	当代中国社会思潮一
CHI1083	CONTEMPORARY CHINESE SOCIETY AND	当代中国社会思
CHI1093	CONTEMPORARY WORLD AND CHINA	当代世界与中国
CHI1103	INTRODUCTION TO MODERN SOCIAL THEORIES	现代社会理论导论
CHI1183	CONTEMPORARY CHINESE SOCIETY AND	当代中国社会思
CHI1193	CONTEMPORARY WORLD AND CHINA	当代世界与中国
CHI1203	MORALITY AND FOUNDATIONS OF LAW	道德与法治
CHI1253	CONTEMPORARY CHINESE SOCIETY AND THOUGHT II	当代中国社会思潮二
COMM1023	FUNDAMENTALS OF COMMUNICATION	传播学基础
COMM2003	COMMUNICATION THEORY	传播理论
COMM2023	MASS MEDIA WRITING	大众媒介写作
COMM2033	PERSUASION AND SOCIAL INFLUENCE	说服与社会影响
COMM2043	INTRODUCTION TO VISUAL COMMUNICATION	视觉传播导论
COMM3003	COMMUNICATION RESEARCH	传播学研究
COMM3013	INTRODUCTION TO FASHION COMMUNICATION	时尚传播导论
COMP1003	COMPUTER ORGANISATION	计算机组成
COMP1013	STRUCTURED PROGRAMMING	结构化程序设计
COMP1023	FOUNDATIONS OF C PROGRAMMING	C程序设计基础
COMP1033	SYSTEMS AND WEB DEVELOPMENT WORKSHOP	系统与网页开发工作坊
COMP2003	DATA STRUCTURES AND ALGORITHMS	数据结构与算法
COMP2013	OBJECT-ORIENTED PROGRAMMING	面向对象程序设计
COMP2023	SOFTWARE DEVELOPMENT WORKSHOP I	软件开发工作坊一
COMP2073	DATA PROGRAMMING WORKSHOP	数据编程工作坊
COMP3003	DATA COMMUNICATIONS AND NETWORKING	数据通信与网络
COMP3013	DATABASE MANAGEMENT SYSTEMS	数据库管理系统
COMP3023	DESIGN AND ANALYSIS OF ALGORITHMS	算法设计与分析
COMP3033	OPERATING SYSTEMS	操作系统
COMP3043	SOFTWARE DEVELOPMENT WORKSHOP II	软件开发工作坊二
COMP3053	SOFTWARE DEVELOPMENT WORKSHOP III	软件开发工作坊三
COMP3063	SOFTWARE ENGINEERING	软件工程
COMP3073	INTRODUCTION TO ROBOTICS	机器人学导论
COMP3083	NUMERICAL COMPUTATION	数值计算
COMP3103	DESIGN PATTERNS	设计模式
COMP3123	SOFTWARE TESTING	软件测试
COMP3143	DATA STRUCTURE (FOR FM STUDENTS)	数据结构（面向FM学生）
COMP3153	C++ PROGRAMMING LANGUAGE	C++程序设计语言
COMP3163	MOBILE APPLICATION DEVELOPMENT	移动应用开发
COMP3173	COMPILER CONSTRUCTION	编译器构造
COMP3183	FINANCIAL COMPUTING	金融计算
COMP3193	CLOUD COMPUTING	云计算
COMP3203	INTRODUCTION TO MACHINE LEARNING	机器学习导论
COMP3213	INTERNET OF THINGS	物联网
COMP3223	MOBILE COMPUTING	移动计算
COMP3233	VIDEO GAME PROGRAMMING	视频游戏编程
COMP3253	ADVANCED SOFTWARE DEVELOPMENT WORKSHOP	高级软件开发工作坊
COMP3263	INTELLIGENT INTERNET OF THINGS	智能物联网
COMP3273	5G NETWORKS AND MOBILE COMPUTING	5G网络与移动计算
COMP3283	DATA STRUCTURE	数据结构
COMP4003	THEORY OF COMPUTATION	计算理论
COMP4004	FINAL YEAR PROJECT I (COMP)	毕业设计一（COMP）
COMP4005	FINAL YEAR PROJECT II (COMP)	毕业设计二（COMP）
COMP4023	COMPUTER AND NETWORK SECURITY	计算机与网络安全
COMP4033	COMPUTER GRAPHICS	计算机图形学
COMP4043	DATA MINING AND KNOWLEDGE DISCOVERY	数据挖掘与知识发现
COMP4053	DATABASE SYSTEM IMPLEMENTATION	数据库系统实现
COMP4063	DIGITAL MEDIA COMPUTING	数字媒体计算
COMP4073	DISTRIBUTED COMPUTING SYSTEMS	分布式计算系统
COMP4083	"E-TECHNOLOGY ARCHITECTURES, TOOLS AND APPLICATIONS"	电子技术体系结构、工具与应用
COMP4093	INTERNET AND THE WORLD WIDE WEB	因特网与万维网
COMP4103	ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING	人工智能与机器学习
COMP4113	COMPUTER VISION AND PATTERN RECOGNITION	计算机视觉与模式识别
COMP4123	INFORMATION RETRIEVAL AND SEARCH ENGINE	信息检索与搜索引擎
COMP4133	SYSTEM ANALYSIS AND DESIGN	系统分析与设计
COMP4143	INTRODUCTION TO WEB INTELLIGENCE	Web智能导论
COMP4153	QUANTUM FINANCE AND INTELLIGENT FINANCIAL TRADING SYSTEMS	量子金融与智能金融交易系统
COMP4163	NEURAL NETWORKS AND DEEP LEARNING	神经网络与深度学习
COMP4173	DIGITAL IMAGE PROCESSING	数字图像处理
COMP4183	GAME ENGINE DESIGN	游戏引擎设计
COMP4193	MULTIPLAYER GAMES AND ACCESSORIES	多人游戏与配件
COMP4203	LINEAR SYSTEMS	线性系统
CTV1003	INTRODUCTION TO ELECTRONIC MEDIA	电子媒体导论
CTV1013	INTRODUCTION TO MEDIA AESTHETICS	媒体美学导论
CTV1023	FILM HISTORY	电影史
CTV2003	AESTHETICS OF FILM	电影美学
CTV2013	PRINCIPLES OF PHOTO IMAGING	摄影图像原理
CTV2023	SCRIPTWRITING	编剧
CTV2033	COMMUNICATION RESEARCH METHODS	传播学研究方法
CTV2053	VIDEO CINEMATOGRAPHY	视频摄影
CTV2063	FILM AND TELEVISION DIRECTING	电影电视导演
CTV2073	INTRODUCTION TO COMMUNICATION THEORY	传播理论导论
CTV2083	FUNDAMENTALS OF ACTING	表演基础
CTV2093	VISUAL MEDIA AND CHINESE SOCIETY	视觉媒体与中国社会
CTV3003	SOUND RECORDING AND MIXING	录音与混音
CTV3013	DOCUMENTARY FILM PRODUCTION	纪录片制作
CTV3023	FILM AND VIDEO EDITING	电影与视频剪辑
CTV3033	ART DIRECTION AND PRODUCTION DESIGN	艺术指导与制作设计
CTV3043	CINEMA AND TELEVISION INTERNSHIP	电影电视实习
CTV3053	ADVANCED FILM SOUND AND MUSIC RECORDING AND MIXING	高级电影音效与音乐录音与混音
CTV3113	MOTION IMAGING COLOUR GRADING	动态影像调色
CTV3123	EXPERIMENTAL FILM	实验电影
CTV4013	PRODUCTION AND MEDIA MANAGEMENT	制作与媒体管理
CTV4023	HISTORY AND AESTHETICS OF THE CHINESE CINEMA	中国电影史与美学
CTV4033	ON-LINE INTERACTIVE VIDEO	在线互动视频
CTV4043	FILM MUSIC AND SOUND	电影音乐与音效
CTV4053	DIGITAL ANIMATION	数字动画
CTV4063	STUDIES IN HOLLYWOOD CINEMA	好莱坞电影研究
CTV4073	SPECIAL TOPICS IN FILM AND TELEVISION STUDIES	电影电视研究专题
CTV4083	HONG KONG AND TAIWANESE CINEMA	香港与台湾电影
CTV4103	ADVANCED SCRIPTWRITING	高级编剧
CTV4113	"STUDIES IN ASIAN CINEMA: INDIA, KOREA, JAPAN"	亚洲电影研究：印度、韩国、日本
CTV4123	STUDIES IN EUROPEAN CINEMA	欧洲电影研究
CTV4133	TELEVISION STUDIO PRODUCTION	电视演播室制作
CTV4143	SPECIAL TOPICS IN FILM AND TELEVISION SUBJECTS	电影电视专题
CTV4153	FINAL YEAR PROJECT (CTV)	毕业设计（CTV）
CTV4163	DIGITAL SPECIAL EFFECTS WORKSHOP	数字特效工作坊
CTV4173	MULTIPLE MEDIA NARRATIVE WRITING	多媒体叙事写作
CTV4183	ADVANCED DIRECTING	高级导演
CTV4193	ELECTRONIC MEDIA MANAGEMENT	电子媒体管理
CTV4203	MEDIA PROGRAMMING AND PLANNING	媒体节目编排与策划
CTV4213	VISUAL MEDIA STUDIES	视觉媒体研究
CTV4223	FILM RESEARCH METHODS	电影研究方法
DHSS2003	TRANSCULTURAL EXCHANGE IN THE HUMANITIES AND SOCIAL SCIENCES	人文社会科学跨文化交流
DMM2003	DIGITAL DESIGN THINKING	数字设计思维
DMM2013	DIGITAL MEDIA TECHNOLOGIES	数字媒体技术
DMM2023	MEDIA AND CULTURE	媒体与文化
DMM3003	"AI, DATA SCIENCE AND MANAGEMENT"	人工智能、数据科学与管理
DMM3013	DATA-DRIVEN MEDIA MANAGEMENT	数据驱动媒体管理
DMM3023	DIGITAL STORYTELLING	数字故事讲述
DMM3033	MEDIA PSYCHOLOGY	媒体心理学
DMM3043	PROJECT I: MEDIA TECHNOLOGIES	项目一：媒体技术
DMM3053	PROJECT II: DIGITAL BUSINESS MODELS	项目二：数字商业模式
DMM3063	PROJECT III: TREND AND FUTURE RESEARCH	项目三：趋势与未来研究
DMM3073	SOCIAL MEDIA MANAGEMENT	社交媒体管理
DMM4003	DIGITAL MEDIA MANAGEMENT INTERNSHIP	数字媒体管理实习
DMM4013	DIGITAL TRANSFORMATION	数字转型
DMM4023	LOW CODING AND DATA SCIENCE	低代码与数据科学
DMM4033	MANAGEMENT AND CONTROL	管理与控制
DS1013	PYTHON PROGRAMMING FOR BEGINNERS	Python编程入门
DS1023	ADVANCED MATHEMATICS FOR DATA SCIENCE	数据科学高级数学
DS2003	FUNDAMENTALS OF DATABASE SYSTEMS	数据库系统基础
DS2013	DATA PROCESSING WORKSHOP I	数据处理工作坊一
DS2033	LINUX SYSTEM MANAGEMENT AND PROGRAMMING	Linux系统管理与编程
DS2043	DATA PROCESSING WORKSHOP I	数据处理工作坊一
DS3003	DATA PROCESSING WORKSHOP II	数据处理工作坊二
DS3013	DATA PROCESSING WORKSHOP III	数据处理工作坊三
DS3023	DIGITAL LOGIC DESIGN	数字逻辑设计
DS3033	TECHNICAL COMMUNICATION	技术交流
DS3043	DATA PROCESSING WORKSHOP II	数据处理工作坊二
DS3053	REQUIREMENTS ENGINEERING FOR DATA SCIENCE PROJECTS	数据科学项目的需求工程
DS4003	OPTIMISATION METHODS	优化方法
DS4004	FINAL YEAR PROJECT I (DS)	毕业设计一（DS）
DS4005	FINAL YEAR PROJECT II (DS)	毕业设计二（DS）
DS4013	DATA MINING (FOR DS STUDENTS)	数据挖掘（面向DS学生）
DS4023	MACHINE LEARNING	机器学习
DS4033	TEXT MINING AND ANALYTICS	文本挖掘与分析
DS4043	INTRODUCTION TO STATISTICAL COMPUTING	统计计算导论
DS4053	INTRODUCTION TO BIOINFORMATICS	生物信息学导论
DS4063	SOCIAL COMPUTING	社交计算
DS4073	INTRODUCTION TO DATA VISUALISATION	数据可视化导论
DS4083	BIG DATA ANALYTICS	大数据分析
DS4093	INTRODUCTION TO RECOMMENDER SYSTEM	推荐系统导论
DSS1013	BIG IDEAS IN SOCIAL SCIENCES	社会科学中的大创意
DSS1023	INVITATION TO DIGITAL SOCIAL SCIENCE	数字社会科学邀请函
DSS2003	EMPLOYMENT AND TAX POLICY FOR DIGITAL ECONOMY	数字经济就业与税收政策
DSS2013	SMART CITY	智慧城市
DSS2023	BEHAVIORAL SCIENCE AND THE DIGITAL WORLD	行为科学与数字世界
DSS2033	SOCIAL POLICY IN DIGITAL SOCIETY	数字社会中的社会政策
